,
,■ 欢迎使用匿名科创地面站!!  匿名科创: www.anotc.com  匿名论坛: www.anobbs.com ■,
ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,MAG_X,MAG_Y,MAG_Z,Angle_ROL,Angle_PIT,Angle_YAW,
225,-49,4322,252,23,15,55,39,0,0.0500000007450581,4.57999992370605,-6.19999980926514,
225,-49,4322,252,23,15,55,39,0,0.0500000007450581,4.57999992370605,-6.19999980926514,
242,130,4337,-113,159,55,59,31,0,0.0599999986588955,1.88999998569489,-6.57999992370605,
232,119,4306,-54,115,46,51,31,0,0.0599999986588955,1.88999998569489,-6.57999992370605,
228,114,4297,-42,108,46,49,31,0,0.0599999986588955,1.88999998569489,-6.57999992370605,
224,110,4288,-31,99,47,47,31,0,0.0599999986588955,1.88999998569489,-6.57999992370605,
215,102,4269,-15,96,51,42,29,0,0,1.60000002384186,-6.73000001907349,
215,102,4269,-15,96,51,42,29,0,0,1.60000002384186,-6.73000001907349,
207,96,4252,4,87,61,38,29,0,0,1.60000002384186,-6.73000001907349,
202,93,4244,16,77,63,36,29,0,0,1.60000002384186,-6.73000001907349,
202,93,4244,16,77,63,36,29,0,0,1.60000002384186,-6.73000001907349,
190,87,4224,52,27,67,31,27,0,0,1.60000002384186,-6.73000001907349,
186,86,4219,65,8,63,30,27,0,0.140000000596046,1.48000001907349,-6.92999982833862,
182,84,4214,74,-8,59,29,27,0,0.140000000596046,1.48000001907349,-6.92999982833862,
179,83,4210,88,-41,51,28,28,0,0.140000000596046,1.48000001907349,-6.92999982833862,
175,82,4206,97,-57,48,27,28,0,0.28999999165535,1.53999996185303,-7.01999998092651,
172,81,4203,102,-67,48,26,28,0,0.28999999165535,1.53999996185303,-7.01999998092651,
167,80,4197,107,-83,45,25,28,0,0.28999999165535,1.53999996185303,-7.01999998092651,
167,80,4197,107,-83,45,25,28,0,0.28999999165535,1.53999996185303,-7.01999998092651,
164,79,4194,106,-85,43,24,28,0,0.28999999165535,1.53999996185303,-7.01999998092651,
159,79,4189,92,-88,37,23,28,0,0.589999973773956,1.78999996185303,-7.17000007629395,
159,79,4189,92,-88,37,23,28,0,0.589999973773956,1.78999996185303,-7.17000007629395,
